New ID,Vendor,Charge_Date,Cardholder_Agency,PC_Number,Billing_Amount
266096,AMAZON,5/10/2023,Mayor's Office,PC-190303,24.99
266096,AMAZON,3/2/2023,Mayor's Office,PC-279542,64
266096,AMAZON,10/9/2023,Mayor's Office,PC-103527,35.14
266096,SQUARE,7/5/2023,Mayor's Office,PC-117178,500
266096,SQUARE,7/5/2023,Mayor's Office,PC-197192,500
266096,SQUARE,10/23/2023,Mayor's Office,PC-140862,-50
266096,SQUARE,6/21/2023,Mayor's Office,PC-100057,104
266096,AMAZON,6/4/2023,Mayor's Office,PC-245827,7.12
266096,PAYPAL,9/18/2023,Mayor's Office,PC-117782,500
266096,AMAZON,10/20/2023,Mayor's Office,PC-275230,149.98
105150,AMAZON,9/20/2023,Mayor's Office,PC-230744,149.99
105150,AMAZON,8/25/2023,Mayor's Office,PC-172027,132.49
105150,AMAZON,5/13/2023,Mayor's Office,PC-156019,208.96
105150,AMAZON,9/19/2023,Mayor's Office,PC-223917,-132.49
105150,AMAZON,3/12/2023,Mayor's Office,PC-254674,28.53
105150,AMAZON,9/21/2023,Mayor's Office,PC-278593,33.7
105150,AMAZON,10/12/2023,Mayor's Office,PC-190098,-149.99
105150,AMAZON,6/19/2023,Mayor's Office,PC-153516,2.99
105150,AMAZON,2/22/2023,Mayor's Office,PC-108296,476.75
105150,AMAZON,4/26/2023,Mayor's Office,PC-258099,7.82
105150,AMAZON,2/21/2023,Mayor's Office,PC-208469,315.04
105150,AMAZON,6/19/2023,Mayor's Office,PC-169166,52.36
105150,AMAZON,8/3/2023,Mayor's Office,PC-278828,449.7
105150,AMAZON,10/12/2023,Mayor's Office,PC-106690,-33.7
110797,AMAZON,9/18/2023,Mayor's Office,PC-113803,23.75
110797,AMAZON,9/15/2023,Mayor's Office,PC-113803,13.59
110797,AMAZON,10/3/2023,Mayor's Office,PC-118012,115
110797,AMAZON,9/15/2023,Mayor's Office,PC-113803,61.54
143323,AMAZON,9/7/2023,Mayor's Office,PC-263876,84.6
110797,AMAZON,9/15/2023,Mayor's Office,PC-128402,189.99
110797,AMAZON,9/15/2023,Mayor's Office,PC-113803,10.99
143323,AMAZON,9/2/2023,Mayor's Office,PC-263876,31.66
143323,AMAZON,3/16/2023,Mayor's Office,PC-179814,41.56
