New ID,Vendor,Charge_Date,Cardholder_Agency,PC_Number,Billing_Amount
,AMAZON,6/25/2023,Library,PC-225445,110.26
276017,SQUARE,8/28/2023,Library,157370,700
185196,SQUARE,8/19/2023,City Council,PC-194507,30
208673,SQUARE,8/30/2023,City Council,PC-107176,1009.55
175842,SQUARE,8/26/2023,City Council,PC-215581,564.5
197267,SQUARE,11/22/2023,Airport,PC-128944,32.14
129828,AMAZON,8/15/2023,Library,PC-201297,35.48
249598,SQUARE,9/7/2023,City Council,PC-217341,1290.5
201485,AMAZON,10/16/2023,City Council,PC-283774,87.99
197267,AMAZON,10/30/2023,Airport,PC-298024,26.1
103860,AMAZON,9/28/2023,City Council,PC-174559,16.19
237456,AMAZON,8/27/2023,City Council,PC-211871,58.78
280035,AMAZON,9/12/2023,Library,PC-221503,285.88
280035,AMAZON,9/8/2023,Library,PC-221503,392.04
271018,SQUARE,8/2/2023,Library,PC-236788,235
216875,AMAZON,8/10/2023,Public Health,PC-261900,279.21
165826,AMAZON,2/28/2023,Transportation and Infrastructure,PC-225343,229.38
153766,AMAZON,4/13/2023,Library,PC-210796,70.94
153766,AMAZON,4/15/2023,Library,PC-210796,91.84
266734,AMAZON,4/4/2023,Public Health,PC-292274,278.6
266734,AMAZON,2/7/2023,Public Health,PC-143459,215.27
266734,AMAZON,2/14/2023,Public Health,PC-143459,404.97
247313,AMAZON,1/4/2023,Transportation and Infrastructure,PC-208441,142.57
130341,SQUARE,2/16/2023,Transportation and Infrastructure,PC-146312,892
233850,AMAZON,2/16/2023,Library,PC-211541,28.94
241043,AMAZON,2/2/2023,City Council,PC-267110,671.07
153766,AMAZON,2/6/2023,Library,PC-145819,138.62
100848,AMAZON,1/24/2023,Transportation and Infrastructure,PC-246769,20
280035,SQUARE,2/1/2023,Library,PC-121223,28
249598,AMAZON,6/13/2023,City Council,PC-115623,87.25
247313,AMAZON,5/16/2023,Transportation and Infrastructure,PC-157075,21.98
162106,AMAZON,5/13/2023,Economic Development,PC-267430,569.25
266734,AMAZON,5/3/2023,Public Health,PC-256703,164.52
162106,AMAZON,10/21/2023,Economic Development,PC-271400,315.22
162106,AMAZON,10/24/2023,Economic Development,PC-271400,606.12
271018,AMAZON,11/7/2023,Library,PC-127581,96.83
247313,AMAZON,12/6/2023,Transportation and Infrastructure,PC-163786,206.29
235283,AMAZON,1/10/2023,Mayor's Office,PC-255841,65.12
235283,AMAZON,1/9/2023,Mayor's Office,PC-255841,28.98
235283,AMAZON,7/11/2023,Mayor's Office,PC-251029,354.95
189916,AMAZON,6/16/2023,Mayor's Office,PC-249317,37.59
189916,SQUARE,7/5/2023,Mayor's Office,PC-248563,68.54
189916,AMAZON,6/14/2023,Mayor's Office,PC-144321,91.71
189916,AMAZON,6/15/2023,Mayor's Office,PC-249317,21.93
189916,SQUARE,11/13/2023,Mayor's Office,PC-271393,584.14
189916,SQUARE,11/8/2023,Mayor's Office,PC-107845,495.72
189916,AMAZON,7/28/2023,Mayor's Office,PC-157484,46.8
189916,AMAZON,7/30/2023,Mayor's Office,PC-157484,320.6
189916,AMAZON,7/30/2023,Mayor's Office,PC-157484,13.72
189916,AMAZON,8/6/2023,Mayor's Office,PC-281967,15.89
189916,SQUARE,7/18/2023,Mayor's Office,PC-283703,596.9
189916,AMAZON,7/22/2023,Mayor's Office,PC-295400,228.44
176250,AMAZON,11/8/2023,Mayor's Office,PC-254126,92.34
176250,AMAZON,10/25/2023,Mayor's Office,PC-254126,93.73
189916,AMAZON,7/28/2023,Mayor's Office,PC-115980,68.5
189916,AMAZON,7/28/2023,Mayor's Office,PC-115980,44.46
189916,AMAZON,7/28/2023,Mayor's Office,PC-295400,228.44
189916,AMAZON,6/20/2023,Mayor's Office,PC-144321,29.56
189916,AMAZON,7/7/2023,Mayor's Office,PC-144321,11.38
189916,AMAZON,11/29/2023,Mayor's Office,PC-139079,182
189916,AMAZON,12/4/2023,Mayor's Office,PC-139079,22.75
189916,AMAZON,12/1/2023,Mayor's Office,PC-139079,64.09
189916,AMAZON,12/4/2023,Mayor's Office,PC-139079,84.02
176250,AMAZON,9/10/2023,Mayor's Office,PC-254602,26.72
189916,AMAZON,11/14/2023,Mayor's Office,PC-261254,36.18
235283,AMAZON,4/26/2023,Mayor's Office,PC-248753,71.26
235283,AMAZON,5/21/2023,Mayor's Office,PC-248753,123.98
189916,AMAZON,11/16/2023,Mayor's Office,PC-261254,32.88
189916,AMAZON,10/31/2023,Mayor's Office,PC-104468,-33.04
189916,AMAZON,11/21/2023,Mayor's Office,PC-261254,31.17
189916,AMAZON,7/2/2023,Mayor's Office,PC-245245,19.99
189916,AMAZON,7/4/2023,Mayor's Office,PC-245245,18.8
189916,AMAZON,11/19/2023,Mayor's Office,PC-261254,292.78
189916,AMAZON,11/16/2023,Mayor's Office,PC-261254,164.82
189916,AMAZON,11/15/2023,Mayor's Office,PC-261254,218.27
189916,AMAZON,6/22/2023,Mayor's Office,PC-202336,66.98
189916,AMAZON,6/23/2023,Mayor's Office,PC-202336,38.99
189916,AMAZON,6/23/2023,Mayor's Office,PC-202336,217.05
235283,AMAZON,9/8/2023,Mayor's Office,PC-201395,25.99
189916,AMAZON,9/23/2023,Mayor's Office,PC-211923,19.79
189916,AMAZON,9/23/2023,Mayor's Office,PC-211923,104.55
189916,AMAZON,9/26/2023,Mayor's Office,PC-245468,19.99
189916,AMAZON,9/23/2023,Mayor's Office,PC-254812,-31.35
189916,AMAZON,9/22/2023,Mayor's Office,PC-254812,-19.99
189916,AMAZON,9/19/2023,Mayor's Office,PC-162371,-67.45
189916,AMAZON,9/20/2023,Mayor's Office,PC-231935,3.96
189916,AMAZON,9/20/2023,Mayor's Office,PC-249147,96.56
189916,AMAZON,9/22/2023,Mayor's Office,PC-249147,89.44
189916,AMAZON,9/19/2023,Mayor's Office,PC-249147,51.34
189916,AMAZON,9/22/2023,Mayor's Office,PC-249147,51.34
189916,AMAZON,9/19/2023,Mayor's Office,PC-249147,28.99
189916,AMAZON,9/21/2023,Mayor's Office,PC-249147,24.63
189916,AMAZON,9/18/2023,Mayor's Office,PC-249147,23.16
189916,AMAZON,8/21/2023,Mayor's Office,PC-242705,11.99
189916,AMAZON,9/16/2023,Mayor's Office,PC-249147,54
189916,AMAZON,9/22/2023,Mayor's Office,PC-211923,21.77
235283,AMAZON,8/23/2023,Mayor's Office,PC-279475,28.2
235283,AMAZON,7/26/2023,Mayor's Office,PC-279475,252.33
235283,AMAZON,7/26/2023,Mayor's Office,PC-279475,158.36
189916,AMAZON,9/23/2023,Mayor's Office,PC-211923,57.5
189916,AMAZON,10/14/2023,Mayor's Office,PC-271424,29
189916,AMAZON,10/14/2023,Mayor's Office,PC-271424,23.98
189916,AMAZON,10/11/2023,Mayor's Office,PC-195159,33.04
189916,AMAZON,10/11/2023,Mayor's Office,PC-287781,139.24
189916,AMAZON,10/14/2023,Mayor's Office,PC-271424,294.46
189916,AMAZON,10/14/2023,Mayor's Office,PC-271424,294.46
189916,AMAZON,10/13/2023,Mayor's Office,PC-271424,78.72
176250,AMAZON,10/12/2023,Mayor's Office,PC-286280,60.86
176250,AMAZON,10/4/2023,Mayor's Office,PC-286280,60.67
189916,AMAZON,9/29/2023,Mayor's Office,PC-113568,28
189916,AMAZON,9/30/2023,Mayor's Office,PC-188469,474.39
176250,AMAZON,10/13/2023,Mayor's Office,PC-286280,15.98
176250,AMAZON,10/2/2023,Mayor's Office,PC-286280,15.82
176250,AMAZON,10/3/2023,Mayor's Office,PC-286280,15.82
176250,AMAZON,10/11/2023,Mayor's Office,PC-286280,-60.67
176250,AMAZON,10/11/2023,Mayor's Office,PC-286280,-15.82
189916,AMAZON,8/18/2023,Mayor's Office,PC-291319,79.77
189916,AMAZON,8/22/2023,Mayor's Office,PC-291319,71.78
189916,AMAZON,8/18/2023,Mayor's Office,PC-291319,68.5
189916,AMAZON,8/21/2023,Mayor's Office,PC-291319,56.89
189916,AMAZON,8/22/2023,Mayor's Office,PC-291319,54.4
189916,AMAZON,8/22/2023,Mayor's Office,PC-291319,-69.99
189916,AMAZON,8/17/2023,Mayor's Office,PC-271178,69.99
176250,AMAZON,10/28/2023,Mayor's Office,PC-254126,-53.84
189916,AMAZON,8/23/2023,Mayor's Office,PC-122638,59.69
189916,AMAZON,9/14/2023,Mayor's Office,PC-235247,67.45
189916,AMAZON,9/14/2023,Mayor's Office,PC-235247,13.99
176250,AMAZON,9/10/2023,Mayor's Office,PC-254793,309.96
176250,AMAZON,9/7/2023,Mayor's Office,PC-100578,87.75
176250,AMAZON,9/7/2023,Mayor's Office,PC-100578,119.92
189916,AMAZON,9/7/2023,Mayor's Office,PC-112090,285.94
189916,AMAZON,9/7/2023,Mayor's Office,PC-112090,28.49
189916,AMAZON,9/9/2023,Mayor's Office,PC-112090,26.95
189916,AMAZON,8/29/2023,Mayor's Office,PC-112090,143.42
189916,AMAZON,12/12/2023,Mayor's Office,PC-133197,19.49
189916,AMAZON,12/11/2023,Mayor's Office,PC-133197,21.99
189916,AMAZON,3/2/2023,Mayor's Office,PC-216766,122.95
189916,AMAZON,12/23/2023,Mayor's Office,PC-133197,252.93
189916,AMAZON,12/11/2023,Mayor's Office,PC-133197,49.02
235283,PAYPAL,2/24/2023,Mayor's Office,PC-200000,99.5
235283,AMAZON,2/14/2023,Mayor's Office,PC-200000,52.5
235283,AMAZON,2/14/2023,Mayor's Office,PC-200000,49.48
235283,AMAZON,3/18/2023,Mayor's Office,PC-140899,62.97
235283,AMAZON,3/17/2023,Mayor's Office,PC-140899,16.52
235283,AMAZON,3/17/2023,Mayor's Office,PC-140899,61.91
235283,AMAZON,3/18/2023,Mayor's Office,PC-140899,90.09
235283,AMAZON,3/19/2023,Mayor's Office,PC-140899,98.01
235283,AMAZON,3/20/2023,Mayor's Office,PC-140899,155.57
235283,AMAZON,4/26/2023,Mayor's Office,PC-140899,121.86
235283,AMAZON,3/16/2023,Mayor's Office,PC-140899,43.96
235283,ETSY,3/10/2023,Mayor's Office,PC-140899,18.05
235283,ETSY,3/10/2023,Mayor's Office,PC-140899,7.42
235283,AMAZON,3/8/2023,Mayor's Office,PC-140899,44.09
235283,AMAZON,3/7/2023,Mayor's Office,PC-140899,349.99
189916,AMAZON,12/11/2023,Mayor's Office,PC-242573,24.62
189916,AMAZON,12/12/2023,Mayor's Office,PC-242573,26.99
189916,AMAZON,12/21/2023,Mayor's Office,PC-242573,36.16
189916,AMAZON,12/11/2023,Mayor's Office,PC-242573,89.95
189916,AMAZON,12/13/2023,Mayor's Office,PC-242573,25.99
190820,AMAZON,3/14/2023,Transportation and Infrastructure,PC-106156,8.9
190820,AMAZON,2/28/2023,Transportation and Infrastructure,PC-190174,115.8
190820,AMAZON,3/31/2023,Transportation and Infrastructure,PC-265066,11.26
190820,AMAZON,3/31/2023,Transportation and Infrastructure,PC-147325,34.99
190820,AMAZON,3/31/2023,Transportation and Infrastructure,PC-292366,23.98
190820,AMAZON,4/6/2023,Transportation and Infrastructure,PC-257280,27.7
190820,AMAZON,4/22/2023,Transportation and Infrastructure,PC-252221,231.16
190820,AMAZON,4/25/2023,Transportation and Infrastructure,PC-169763,23.61
190820,AMAZON,4/26/2023,Transportation and Infrastructure,PC-122871,35.62
190820,AMAZON,4/27/2023,Transportation and Infrastructure,PC-268430,166.55
190820,AMAZON,4/27/2023,Transportation and Infrastructure,PC-132778,109.9
190820,AMAZON,4/29/2023,Transportation and Infrastructure,PC-218679,97.92
190820,AMAZON,4/27/2023,Transportation and Infrastructure,PC-218679,444.48
190820,SQUARE,7/18/2023,Transportation and Infrastructure,PC-156178,965
190820,AMAZON,7/4/2023,Transportation and Infrastructure,PC-289429,39.59
257266,SQUARE,6/23/2023,Transportation and Infrastructure,PC-270825,108.36
190820,AMAZON,6/1/2023,Transportation and Infrastructure,PC-193185,66.18
190820,AMAZON,5/6/2023,Transportation and Infrastructure,PC-160845,49.99
190820,AMAZON,6/1/2023,Transportation and Infrastructure,PC-181927,163.3
190820,AMAZON,6/22/2023,Transportation and Infrastructure,PC-100458,109.98
190820,AMAZON,1/24/2023,Transportation and Infrastructure,PC-282368,32.99
190820,AMAZON,1/24/2023,Transportation and Infrastructure,PC-122929,21.6
190820,AMAZON,1/25/2023,Transportation and Infrastructure,PC-277079,11.42
190820,AMAZON,1/16/2023,Transportation and Infrastructure,PC-242419,79.96
190820,AMAZON,1/9/2023,Transportation and Infrastructure,PC-100675,25.98
190820,AMAZON,1/10/2023,Transportation and Infrastructure,PC-254241,93.23
190820,AMAZON,1/8/2023,Transportation and Infrastructure,PC-140257,49.92
196873,AMAZON,12/6/2023,Transportation and Infrastructure,PC-122452,73.92
196873,SQUARE,12/5/2023,Transportation and Infrastructure,PC-282875,54
190820,AMAZON,11/28/2023,Transportation and Infrastructure,PC-108622,14.95
190820,AMAZON,12/7/2023,Transportation and Infrastructure,PC-290836,76.57
190820,AMAZON,12/9/2023,Transportation and Infrastructure,PC-184252,714.65
190820,AMAZON,12/8/2023,Transportation and Infrastructure,PC-184252,25.17
190820,AMAZON,12/8/2023,Transportation and Infrastructure,PC-293773,678
190820,AMAZON,12/8/2023,Transportation and Infrastructure,PC-254272,183.44
190820,AMAZON,12/11/2023,Transportation and Infrastructure,PC-189589,48.99
190820,AMAZON,12/12/2023,Transportation and Infrastructure,PC-289189,433.35
190820,AMAZON,12/9/2023,Transportation and Infrastructure,PC-289189,42.04
190820,AMAZON,12/10/2023,Transportation and Infrastructure,PC-289189,40.99
190820,AMAZON,12/11/2023,Transportation and Infrastructure,PC-289189,157.35
190820,AMAZON,12/7/2023,Transportation and Infrastructure,PC-284224,599.98
190820,AMAZON,12/8/2023,Transportation and Infrastructure,PC-198494,153.24
190820,AMAZON,12/8/2023,Transportation and Infrastructure,PC-281380,268.52
190820,AMAZON,12/8/2023,Transportation and Infrastructure,PC-122276,148
190820,AMAZON,12/8/2023,Transportation and Infrastructure,PC-136991,62.8
190820,AMAZON,12/7/2023,Transportation and Infrastructure,PC-270710,169.99
190820,AMAZON,12/8/2023,Transportation and Infrastructure,PC-236562,238.99
190820,AMAZON,12/5/2023,Transportation and Infrastructure,PC-161868,271.36
190820,AMAZON,11/13/2023,Transportation and Infrastructure,PC-218761,10.88
196873,AMAZON,11/8/2023,Transportation and Infrastructure,PC-277579,6.32
190820,SQUARE,11/6/2023,Transportation and Infrastructure,PC-152720,14.39
190820,AMAZON,11/7/2023,Transportation and Infrastructure,PC-290303,136.8
196873,AMAZON,11/2/2023,Transportation and Infrastructure,PC-221862,58.49
196873,AMAZON,11/3/2023,Transportation and Infrastructure,PC-280969,11.53
190820,ETSY,11/22/2023,Transportation and Infrastructure,PC-239064,22.69
190820,AMAZON,12/6/2023,Transportation and Infrastructure,PC-266229,54.64
190820,AMAZON,12/6/2023,Transportation and Infrastructure,PC-284410,52.54
190820,AMAZON,12/6/2023,Transportation and Infrastructure,PC-117615,35.02
165030,AMAZON,12/22/2023,Transportation and Infrastructure,PC-192400,11.78
190820,AMAZON,12/19/2023,Transportation and Infrastructure,PC-120567,-148
190820,AMAZON,12/20/2023,Transportation and Infrastructure,PC-256537,169.99
196873,AMAZON,12/20/2023,Transportation and Infrastructure,PC-199749,29.69
196873,AMAZON,12/22/2023,Transportation and Infrastructure,PC-164761,16.49
196873,AMAZON,12/19/2023,Transportation and Infrastructure,PC-202285,30.41
196873,AMAZON,12/20/2023,Transportation and Infrastructure,PC-157620,20.02
196873,AMAZON,12/21/2023,Transportation and Infrastructure,PC-242071,263.06
210550,AMAZON,12/7/2023,Transportation and Infrastructure,PC-104270,251.23
190820,AMAZON,12/20/2023,Transportation and Infrastructure,PC-106669,63
190820,AMAZON,12/15/2023,Transportation and Infrastructure,PC-260909,33.98
190820,AMAZON,12/7/2023,Transportation and Infrastructure,PC-232359,98
190820,AMAZON,12/5/2023,Transportation and Infrastructure,PC-213657,30.3
190820,AMAZON,12/5/2023,Transportation and Infrastructure,PC-271032,106.75
190820,AMAZON,12/5/2023,Transportation and Infrastructure,PC-153142,121.77
190820,AMAZON,12/5/2023,Transportation and Infrastructure,PC-248045,175.88
190820,AMAZON,12/4/2023,Transportation and Infrastructure,PC-173008,333.5
190820,AMAZON,12/5/2023,Transportation and Infrastructure,PC-156659,41.8
190820,AMAZON,12/5/2023,Transportation and Infrastructure,PC-183354,49.98
190820,AMAZON,12/7/2023,Transportation and Infrastructure,PC-221588,34.44
190820,AMAZON,12/16/2023,Transportation and Infrastructure,PC-148994,39.9
257266,AMAZON,8/17/2023,Transportation and Infrastructure,PC-170481,73.5
190820,AMAZON,8/29/2023,Transportation and Infrastructure,PC-210881,154.31
190820,AMAZON,8/24/2023,Transportation and Infrastructure,PC-226449,5.85
190820,AMAZON,8/25/2023,Transportation and Infrastructure,PC-290243,65.8
190820,AMAZON,8/16/2023,Transportation and Infrastructure,PC-263918,47.12
170216,SQUARE,9/12/2023,Transportation and Infrastructure,PC-134688,26.7
165030,AMAZON,9/14/2023,Transportation and Infrastructure,PC-237838,15.59
257266,AMAZON,8/28/2023,Transportation and Infrastructure,PC-262020,20.23
190820,AMAZON,8/24/2023,Transportation and Infrastructure,PC-253337,35.74
190820,AMAZON,8/2/2023,Transportation and Infrastructure,PC-149998,22.22
190820,AMAZON,8/2/2023,Transportation and Infrastructure,PC-149998,17.33
190820,AMAZON,8/25/2023,Transportation and Infrastructure,PC-117400,127.64
196873,AMAZON,10/24/2023,Transportation and Infrastructure,PC-210276,27.99
211100,AMAZON,10/15/2023,Transportation and Infrastructure,PC-122132,51.32
196873,AMAZON,10/18/2023,Transportation and Infrastructure,PC-295261,27.99
196873,AMAZON,10/7/2023,Transportation and Infrastructure,PC-263480,66.32
190820,AMAZON,9/2/2023,Transportation and Infrastructure,PC-140115,18.99
204407,AMAZON,5/30/2023,Transportation and Infrastructure,PC-121561,98.3
204407,PAYPAL,4/25/2023,Transportation and Infrastructure,PC-129355,699
204407,AMAZON,4/17/2023,Transportation and Infrastructure,PC-129355,55.98
204407,AMAZON,2/5/2023,Transportation and Infrastructure,PC-190594,15.98
204407,AMAZON,2/12/2023,Transportation and Infrastructure,PC-190594,35.63
204407,AMAZON,2/6/2023,Transportation and Infrastructure,PC-190594,44.98
204407,AMAZON,4/18/2023,Transportation and Infrastructure,PC-129355,2.99
204407,AMAZON,6/9/2023,Transportation and Infrastructure,PC-108286,32.23
204407,AMAZON,7/11/2023,Transportation and Infrastructure,PC-243931,118.79
204407,AMAZON,6/20/2023,Transportation and Infrastructure,PC-108286,38.98
204407,AMAZON,6/27/2023,Transportation and Infrastructure,PC-244022,236.6
204407,AMAZON,6/26/2023,Transportation and Infrastructure,PC-244022,26.99
190820,AMAZON,11/22/2023,Transportation and Infrastructure,PC-159649,107.19
190820,AMAZON,11/21/2023,Transportation and Infrastructure,PC-277534,20.01
190820,AMAZON,11/21/2023,Transportation and Infrastructure,PC-212932,83.95
190820,AMAZON,9/25/2023,Transportation and Infrastructure,PC-116347,353.2
190820,AMAZON,9/21/2023,Transportation and Infrastructure,PC-161264,-226.5
190820,AMAZON,10/3/2023,Transportation and Infrastructure,PC-289509,227.7
190820,AMAZON,10/3/2023,Transportation and Infrastructure,PC-289509,43.36
190820,AMAZON,10/2/2023,Transportation and Infrastructure,PC-240406,370.9
190820,AMAZON,10/2/2023,Transportation and Infrastructure,PC-237814,87.8
190820,AMAZON,9/18/2023,Transportation and Infrastructure,PC-179015,235.6
190820,AMAZON,9/20/2023,Transportation and Infrastructure,PC-247891,58.22
190820,AMAZON,9/20/2023,Transportation and Infrastructure,PC-247891,143.89
190820,AMAZON,9/19/2023,Transportation and Infrastructure,PC-203669,270.96
190820,AMAZON,9/20/2023,Transportation and Infrastructure,PC-105479,163.05
190820,AMAZON,9/20/2023,Transportation and Infrastructure,PC-105479,397.14
190820,AMAZON,9/26/2023,Transportation and Infrastructure,PC-166009,214.13
190820,AMAZON,9/25/2023,Transportation and Infrastructure,PC-166009,222.66
190820,AMAZON,9/25/2023,Transportation and Infrastructure,PC-209500,383.78
190820,AMAZON,9/25/2023,Transportation and Infrastructure,PC-209500,658.78
190820,AMAZON,9/19/2023,Transportation and Infrastructure,PC-133457,130.05
190820,AMAZON,9/29/2023,Transportation and Infrastructure,PC-246721,23.96
190820,AMAZON,10/5/2023,Transportation and Infrastructure,PC-246721,5.99
190820,AMAZON,10/22/2023,Transportation and Infrastructure,PC-134646,23.96
190820,AMAZON,10/13/2023,Transportation and Infrastructure,PC-184873,55.92
190820,AMAZON,10/11/2023,Transportation and Infrastructure,PC-184873,83.88
190820,AMAZON,10/10/2023,Transportation and Infrastructure,PC-266649,17.97
190820,AMAZON,10/10/2023,Transportation and Infrastructure,PC-192493,455.3
190820,AMAZON,10/9/2023,Transportation and Infrastructure,PC-192493,166.32
190820,AMAZON,10/21/2023,Transportation and Infrastructure,PC-266649,11.98
190820,AMAZON,10/6/2023,Transportation and Infrastructure,PC-190342,53.94
190820,AMAZON,9/19/2023,Transportation and Infrastructure,PC-253722,126.08
190820,AMAZON,9/21/2023,Transportation and Infrastructure,PC-253722,88.6
190820,AMAZON,11/14/2023,Transportation and Infrastructure,PC-289493,180.69
190820,AMAZON,11/13/2023,Transportation and Infrastructure,PC-212273,156.6
190820,AMAZON,9/21/2023,Transportation and Infrastructure,PC-284025,11.98
190820,AMAZON,9/24/2023,Transportation and Infrastructure,PC-284025,272.67
190820,AMAZON,9/27/2023,Transportation and Infrastructure,PC-284025,29.95
190820,AMAZON,9/24/2023,Transportation and Infrastructure,PC-284025,53.91
190820,AMAZON,10/9/2023,Transportation and Infrastructure,PC-185233,170.02
190820,AMAZON,10/9/2023,Transportation and Infrastructure,PC-185233,82.1
190820,AMAZON,9/19/2023,Transportation and Infrastructure,PC-203669,237.11
190820,AMAZON,9/19/2023,Transportation and Infrastructure,PC-249813,351.2
190820,AMAZON,9/24/2023,Transportation and Infrastructure,PC-208680,953.72
190820,AMAZON,9/23/2023,Transportation and Infrastructure,PC-171996,17.97
190820,AMAZON,9/20/2023,Transportation and Infrastructure,PC-171996,308.4
190820,AMAZON,9/21/2023,Transportation and Infrastructure,PC-228887,279.4
190820,AMAZON,9/19/2023,Transportation and Infrastructure,PC-176986,196.47
190820,AMAZON,9/23/2023,Transportation and Infrastructure,PC-176986,257.01
190820,AMAZON,9/20/2023,Transportation and Infrastructure,PC-236629,169.7
190820,VENMO,5/10/2023,Transportation and Infrastructure,PC-172150,741.6
190820,VENMO,5/15/2023,Transportation and Infrastructure,PC-159074,82.4
190820,AMAZON,4/23/2023,Transportation and Infrastructure,PC-261007,89.05
190820,AMAZON,4/27/2023,Transportation and Infrastructure,PC-175133,57.97
140168,PAYPAL,7/26/2023,Public Health,PC-150707,17.32
206289,PAYPAL,8/4/2023,Mayor's Office,PC-256993,300
280035,PAYPAL,8/28/2023,Library,PC-271258,146.6
206289,PAYPAL,7/14/2023,Mayor's Office,PC-290435,250
169435,PAYPAL,10/19/2023,City Council,PC-131179,34.72
190820,PAYPAL,12/14/2023,Transportation and Infrastructure,PC-285680,910
190820,VENMO,12/11/2023,Transportation and Infrastructure,PC-147718,283.25
190820,AMAZON,3/22/2023,Transportation and Infrastructure,PC-141125,183.06
190820,PAYPAL,1/6/2023,Transportation and Infrastructure,PC-230792,512.52
190820,VENMO,12/19/2023,Transportation and Infrastructure,PC-136534,20.6
196873,SQUARE,7/13/2023,Transportation and Infrastructure,PC-247961,25.8
196873,AMAZON,3/6/2023,Transportation and Infrastructure,PC-228399,35.13
210550,AMAZON,1/19/2023,Transportation and Infrastructure,PC-297999,74.24
210550,AMAZON,1/23/2023,Transportation and Infrastructure,PC-100237,70.99
210550,AMAZON,1/3/2023,Transportation and Infrastructure,PC-140483,18.49
257266,AMAZON,3/4/2023,Transportation and Infrastructure,PC-181294,20.77
257266,AMAZON,3/6/2023,Transportation and Infrastructure,PC-181294,23.26
257266,AMAZON,3/5/2023,Transportation and Infrastructure,PC-181294,39.96
257266,AMAZON,3/5/2023,Transportation and Infrastructure,PC-181294,4.49
257266,AMAZON,3/3/2023,Transportation and Infrastructure,PC-181294,-20.99
257266,AMAZON,3/2/2023,Transportation and Infrastructure,PC-181294,73.98
257266,AMAZON,3/2/2023,Transportation and Infrastructure,PC-181294,-19.99
190820,AMAZON,1/6/2023,Transportation and Infrastructure,PC-125743,415.84
257266,AMAZON,2/27/2023,Transportation and Infrastructure,PC-217481,236.26
257266,AMAZON,12/8/2023,Transportation and Infrastructure,PC-165452,1020.76
257266,AMAZON,5/6/2023,Transportation and Infrastructure,PC-177427,67.35
257266,AMAZON,5/8/2023,Transportation and Infrastructure,PC-177427,724.59
257266,AMAZON,8/16/2023,Transportation and Infrastructure,PC-115480,319.88
257266,AMAZON,8/16/2023,Transportation and Infrastructure,PC-125484,185.62
257266,AMAZON,3/2/2023,Transportation and Infrastructure,PC-178432,-17.99
257266,AMAZON,6/10/2023,Transportation and Infrastructure,PC-270825,127.39
257266,AMAZON,2/26/2023,Transportation and Infrastructure,PC-217481,336.9
257266,AMAZON,6/11/2023,Transportation and Infrastructure,PC-270825,198.95
257266,AMAZON,7/29/2023,Transportation and Infrastructure,PC-203573,128.42
257266,AMAZON,3/24/2023,Transportation and Infrastructure,PC-191097,-18.98
257266,AMAZON,7/13/2023,Transportation and Infrastructure,PC-143327,197.04
190820,AMAZON,2/1/2023,Transportation and Infrastructure,PC-189565,101.34
211100,AMAZON,12/22/2023,Transportation and Infrastructure,PC-269121,119.99
257266,AMAZON,12/22/2023,Transportation and Infrastructure,PC-271797,174.16
257266,AMAZON,6/10/2023,Transportation and Infrastructure,PC-270825,71.52
257266,AMAZON,7/14/2023,Transportation and Infrastructure,PC-176497,643.75
208533,AMAZON,9/15/2023,City Council,PC-235725,84.54
208533,AMAZON,9/16/2023,City Council,PC-266914,264.48
208533,AMAZON,4/18/2023,City Council,PC-279273,45.52
208533,AMAZON,4/18/2023,City Council,PC-196875,59.94
208533,AMAZON,4/20/2023,City Council,PC-299547,49.95
190820,PAYPAL,10/11/2023,Transportation and Infrastructure,PC-261045,1000
190820,PAYPAL,5/26/2023,Transportation and Infrastructure,PC-127697,1200
190820,SQUARE,6/8/2023,Transportation and Infrastructure,PC-262675,799
100848,AMAZON,4/29/2023,Transportation and Infrastructure,PC-248140,572.39
100848,AMAZON,4/29/2023,Transportation and Infrastructure,PC-219090,56.61
100848,AMAZON,4/28/2023,Transportation and Infrastructure,PC-172285,172.21
100848,AMAZON,4/30/2023,Transportation and Infrastructure,PC-225911,450.59
100848,AMAZON,4/28/2023,Transportation and Infrastructure,PC-164066,32.97
113994,AMAZON,5/3/2023,Transportation and Infrastructure,PC-213216,178.68
100848,AMAZON,3/14/2023,Transportation and Infrastructure,PC-163318,448.69
100848,AMAZON,5/1/2023,Transportation and Infrastructure,PC-126535,263.2
100848,AMAZON,4/27/2023,Transportation and Infrastructure,PC-230759,111.75
100848,AMAZON,4/18/2023,Transportation and Infrastructure,PC-253831,1993.58
100848,AMAZON,4/20/2023,Transportation and Infrastructure,PC-165449,-46.12
100848,AMAZON,4/20/2023,Transportation and Infrastructure,PC-151111,-23.06
100848,AMAZON,4/18/2023,Transportation and Infrastructure,PC-198064,-69.17
100848,AMAZON,4/15/2023,Transportation and Infrastructure,PC-158218,-79.96
100848,AMAZON,4/15/2023,Transportation and Infrastructure,PC-240740,-42.95
100848,AMAZON,8/6/2023,Transportation and Infrastructure,PC-204066,259.94
219380,AMAZON,4/26/2023,Transportation and Infrastructure,PC-116943,1730.98
219380,AMAZON,4/21/2023,Transportation and Infrastructure,PC-111929,239.85
219380,PAYPAL,1/26/2023,Transportation and Infrastructure,PC-123448,250
100848,AMAZON,4/16/2023,Transportation and Infrastructure,PC-222057,119.49
