Shape,NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_1_TO_4,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_TO_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,ONLY_ENGLISH_LNG,SPANISH_LNG,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_FAMILY_INCOME,PER_CAPITA_INCOME,AVG_HH_INCOME,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARN_MALE,MEDIAN_EARN_FEMALE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,BUILT_2014_OR_LATER,BUILT_2010_2013,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MEDIAN_HOME_VALUE,NATIVE,FOREIGN_BORN_FB,EUROPEAN_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
<geoprocessing describe geometry object object at 0x04439460>,Ruby Hill,9946.0,6763.0,2220.0,237.0,21.0,434.0,0.0,82.0,189.0,67.9971848,22.32053087,2.38286748,0.21114016,4.36356324,0.0,0.82445204,1.90026141,5150.0,4796.0,425.0,597.0,906.0,272.0,1022.0,1419.0,1232.0,1839.0,1329.0,1198.0,885.0,502.0,520.0,2200.0,1696.0,22.119445,17.05208124,36.36215334,36.92974013,35.625,9674,2079,58,180,353,737,451,158,142,7595,4485.0,507.0,1659.0,1400.0,500.0,419.0,6941.0,2214.0,2179.0,1135.0,1413.0,9521.0,5191.0,3910.0,3941,3786,155,1898,1888,3786,2176,1363,813,375,438,1610,1297,313,404,407,267,258,46,129,165,117,100,254,294,491,345,219,175,115,50000,64051,26886,69551,86986,33906,40621,28945,27737,35500,47456,54054,0,1957.17579909,0,15,100,72,158,748,478,1971,269,130,859,874,341032,7754,2192,12,0,0,0,12,351,19,0,332,0,69,24,0,0,18,0,1760,1760,68,1626,66,0,19.2,13.49463924
<geoprocessing describe geometry object object at 0x04772D00>,Lowry Field,9011.0,1364.0,6658.0,392.0,79.0,302.0,0.0,0.0,216.0,15.13705471,73.88747087,4.3502386,0.87670625,3.35145933,0.0,0.0,2.39707025,4082.0,4929.0,294.0,506.0,456.0,162.0,800.0,656.0,1574.0,896.0,1348.0,1386.0,1110.0,1096.0,145.0,1418.0,2329.0,15.73632227,25.84618799,43.86906528,45.18333333,42.99071782,8935,1861,262,32,477,389,204,284,213,7074,3825.0,794.0,1659.0,1035.0,250.0,87.0,7026.0,97.0,804.0,1068.0,5057.0,8717.0,7742.0,572.0,4652,4430,222,2367,2063,4430,2347,2085,262,55,207,2083,1606,477,241,63,37,123,50,28,173,366,183,134,235,623,312,356,349,1157,98354,150084,73765,149566,185661,65315,77505,53572,11104,60864,47586,71137,107094,2001.48976808,0,491,2199,1221,56,123,23,49,330,160,1060,1122,664779,7684,1327,387,133,132,0,122,161,61,16,0,84,20,0,0,0,0,0,759,648,531,85,32,111,7.85,4.17858623
<geoprocessing describe geometry object object at 0x04439580>,University Park,7676.0,1007.0,5514.0,347.0,43.0,400.0,0.0,0.0,365.0,13.11881188,71.83428869,4.52058364,0.5601876,5.21104742,0.0,0.0,4.75508077,3575.0,4101.0,221.0,270.0,464.0,180.0,491.0,802.0,1958.0,1102.0,989.0,958.0,630.0,456.0,290.0,1135.0,1505.0,14.78634706,19.60656592,34.79401089,36.47356143,32.44117647,7586,2312,97,80,233,363,188,993,358,5274,3490.0,1052.0,1475.0,601.0,233.0,129.0,5287.0,81.0,397.0,1117.0,3692.0,7455.0,6508.0,512.0,4186,3765,421,1591,2174,3765,1380,1231,149,39,110,2385,1708,677,268,198,67,66,166,54,168,199,141,426,343,430,106,212,233,688,65663,177094,63862,129374,229716,43214,47352,40451,14488,41821,19490,57196,78484,1966.69314079,36,533,720,141,180,270,831,756,326,393,989,1004,759215,7041,635,52,9,0,0,43,269,182,35,52,0,133,0,99,0,34,0,181,149,0,95,54,32,14.5,4.48598706
<geoprocessing describe geometry object object at 0x044394E0>,Northeast Park Hill,9009.0,2959.0,2322.0,3037.0,9.0,44.0,0.0,39.0,599.0,32.84493284,25.77422577,33.71073371,0.0999001,0.48840049,0.0,0.43290043,6.64890665,4269.0,4740.0,417.0,706.0,777.0,262.0,1123.0,1198.0,1355.0,1835.0,1054.0,813.0,977.0,234.0,420.0,2162.0,1166.0,23.998224,12.94261294,34.06348774,31.39090909,36.84,8747,2396,144,47,601,634,411,432,127,6351,3601.0,504.0,1672.0,969.0,284.0,172.0,6137.0,840.0,1624.0,1639.0,2034.0,8592.0,6522.0,1932.0,3538,3419,119,1775,1644,3419,1824,816,1008,239,769,1595,1237,358,250,143,167,133,119,162,219,112,78,383,395,545,235,141,134,203,58524,63750,31263,79348,81956,39538,42203,37446,43484,26206,39768,61398,71750,1957.48519481,0,340,389,123,101,266,226,1925,141,27,962,981,395432,7947,1062,66,42,0,0,24,52,12,0,0,40,76,23,18,0,0,0,868,868,7,861,0,0,17.6,15.02564615
<geoprocessing describe geometry object object at 0x044393C0>,Skyland,3421.0,518.0,1891.0,785.0,7.0,0.0,0.0,0.0,220.0,15.14177141,55.27623502,22.94650687,0.20461853,0.0,0.0,0.0,6.43086817,1518.0,1903.0,312.0,41.0,74.0,0.0,353.0,86.0,518.0,935.0,399.0,452.0,336.0,220.0,122.0,427.0,688.0,12.48173049,20.11107863,36.7,36.7,36.7,3238,511,123,13,13,86,0,154,122,2727,1720.0,355.0,892.0,319.0,13.0,141.0,2817.0,119.0,358.0,744.0,1596.0,3109.0,2760.0,334.0,1629,1561,68,1029,532,1561,878,635,243,78,165,683,513,170,188,54,43,15,28,0,67,84,30,70,136,142,104,89,276,235,81462,106250,52932,113136,128201,54876,60244,54423,0,37250,55561,79821,54250,1948.0,0,169,0,0,18,55,48,471,296,572,1637,1714,538700,3107,314,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,298,298,0,231,67,0,10.7,9.90888383
<geoprocessing describe geometry object object at 0x04772560>,Whittier,4793.0,1058.0,2685.0,701.0,35.0,149.0,2.0,0.0,163.0,22.07385771,56.01919466,14.62549551,0.73023159,3.10870019,0.04172752,0.0,3.40079282,2270.0,2523.0,439.0,200.0,215.0,150.0,639.0,429.0,658.0,1363.0,844.0,255.0,404.0,114.0,87.0,1004.0,388.0,20.94721469,8.09513874,34.2,33.5,34.8,4582,881,198,12,188,195,185,55,48,3701,2263.0,447.0,948.0,631.0,145.0,92.0,3548.0,228.0,354.0,622.0,2344.0,4354.0,3871.0,379.0,2315,2145,170,1264,881,2145,1146,679,467,0,467,999,478,521,66,101,68,151,15,117,47,25,60,78,89,167,138,220,371,432,110313,105000,58190,127708,136598,66493,74675,57629,0,0,35000,66136,91532,0.0,0,78,107,71,0,138,341,261,50,1269,771,922,516200,4631,162,22,0,13,9,0,102,46,28,0,28,0,0,0,0,0,2,36,18,18,0,0,18,10.1,7.67888307
<geoprocessing describe geometry object object at 0x04439580>,Civic Center,2812.0,480.0,1921.0,252.0,13.0,101.0,0.0,0.0,45.0,17.06970128,68.314367,8.96159317,0.46230441,3.59174964,0.0,0.0,1.6002845,1500.0,1312.0,66.0,4.0,0.0,0.0,70.0,18.0,797.0,969.0,160.0,384.0,299.0,88.0,27.0,70.0,311.0,2.48933144,11.05974395,33.8,35.1,32.2,2771,323,25,0,4,0,18,107,169,2448,1330.0,358.0,560.0,321.0,42.0,49.0,2413.0,6.0,318.0,482.0,1607.0,2746.0,2421.0,110.0,2016,1875,141,438,1437,1875,411,352,59,30,29,1464,1067,397,101,76,27,35,67,40,21,63,29,81,174,213,149,163,282,354,102520,184097,93375,139037,188116,89119,105098,65868,0,78849,75924,89406,125317,2007.0,0,824,605,278,119,26,45,14,0,105,1906,1959,690600,2645,167,76,27,0,12,37,63,26,18,9,10,0,0,0,0,0,0,28,6,0,0,6,22,8.9,5.10948905
<geoprocessing describe geometry object object at 0x04439460>,Marston,12116.0,2058.0,8448.0,91.0,10.0,1142.0,0.0,57.0,310.0,16.9858039,69.72598217,0.75107296,0.08253549,9.42555299,0.0,0.47045229,2.5586002,5679.0,6437.0,806.0,894.0,487.0,218.0,1700.0,783.0,1748.0,2352.0,1492.0,1325.0,1572.0,839.0,305.0,2405.0,2672.0,19.84978541,22.053483,36.99107143,36.93243243,37.04688797,11662,2337,301,111,758,428,296,264,179,9325,6300.0,641.0,2195.0,1951.0,941.0,572.0,9248.0,369.0,1478.0,3019.0,4382.0,11310.0,9256.0,634.0,5550,5550,0,3637,1913,5550,2882,2189,693,174,519,2668,1990,678,114,166,0,163,200,61,144,142,240,424,990,895,661,331,550,469,78659,101961,44471,94059,114805,49298,62134,40833,37605,40655,51879,61849,57931,1988.74471154,0,224,651,1841,2080,631,52,20,16,35,995,1048,378990,10540,1576,438,41,0,21,376,696,88,0,608,0,88,0,20,0,30,28,326,296,33,164,99,30,7.13333333,5.2113712
<geoprocessing describe geometry object object at 0x04439340>,Regis,4740.0,1184.0,3145.0,73.0,13.0,137.0,55.0,0.0,133.0,24.97890295,66.35021097,1.54008439,0.2742616,2.89029536,1.16033755,0.0,2.80590717,2032.0,2708.0,288.0,124.0,128.0,108.0,412.0,755.0,986.0,844.0,480.0,380.0,487.0,364.0,32.0,648.0,876.0,13.67088608,18.48101266,33.3,33.7,32.4,4520,1655,57,12,105,122,133,1146,80,2865,1993.0,510.0,912.0,329.0,130.0,112.0,2976.0,182.0,709.0,671.0,1414.0,4452.0,3925.0,283.0,1808,1735,73,1155,580,1735,828,708,120,23,97,907,607,300,104,114,26,23,66,9,15,148,94,100,81,177,177,138,263,200,86017,121667,40183,105564,135703,56125,56214,56036,44306,36791,46318,67679,92569,1955.0,0,95,32,108,108,173,209,383,55,645,1202,1286,466000,4431,309,141,8,13,9,111,133,87,0,46,0,9,9,0,0,0,0,26,26,0,18,8,0,19.0,8.57487923
<geoprocessing describe geometry object object at 0x04772D40>,Valverde,4293.0,3397.0,818.0,0.0,8.0,70.0,0.0,0.0,0.0,79.12881435,19.0542744,0.0,0.18634987,1.63056138,0.0,0.0,0.0,2148.0,2145.0,323.0,187.0,374.0,217.0,510.0,709.0,459.0,740.0,512.0,463.0,621.0,224.0,55.0,1101.0,846.0,25.64640112,19.70649895,37.3,30.1,40.8,4127,911,26,45,185,210,333,112,0,3216,1538.0,424.0,607.0,372.0,122.0,13.0,2815.0,806.0,1004.0,605.0,400.0,3970.0,1564.0,2254.0,1629,1537,92,652,885,1537,1120,770,350,54,296,417,345,72,74,321,101,82,26,17,84,115,107,109,69,181,108,77,28,38,42236,44653,20687,56159,58311,38972,39906,37635,33304,38301,40345,43247,56083,1959.0,0,0,12,75,97,133,482,292,393,145,0,618,324000,2970,1323,77,0,0,0,77,30,0,0,30,0,0,0,0,0,0,0,1216,1216,0,1199,17,0,19.8,35.53571429
<geoprocessing describe geometry object object at 0x04439580>,Mar Lee,13354.0,8370.0,3835.0,99.0,167.0,352.0,6.0,33.0,492.0,62.67784933,28.71798712,0.74135091,1.25056163,2.63591433,0.04493036,0.24711697,3.68428935,6841.0,6513.0,1385.0,720.0,1341.0,550.0,2105.0,2317.0,1773.0,2494.0,1609.0,1169.0,1129.0,474.0,284.0,3996.0,1318.0,29.92361839,9.86970196,31.7393745,31.75081566,31.7283123,12405,3625,272,201,545,1184,737,592,94,8780,5682.0,798.0,1832.0,2315.0,311.0,426.0,8206.0,2226.0,2527.0,1985.0,1468.0,11969.0,6971.0,4669.0,4376,4221,155,2328,1893,4221,2938,1912,1026,333,693,1283,897,386,278,282,158,170,220,209,100,99,95,315,572,653,418,331,241,80,64838,71796,24150,73169,79490,35886,42718,29271,34804,41034,36038,43592,85030,1955.91289669,0,58,0,90,220,466,338,2962,121,121,945,958,328193,10560,2794,45,0,45,0,0,258,0,0,258,0,0,0,0,0,0,0,2491,2491,11,2468,12,0,17.05,15.87551764
<geoprocessing describe geometry object object at 0x04439460>,North Park Hill,11554.0,1395.0,5782.0,2950.0,30.0,150.0,29.0,111.0,1107.0,12.0737407,50.04327506,25.53228319,0.25965034,1.29825169,0.25099533,0.96070625,9.58109746,5393.0,6161.0,769.0,611.0,770.0,484.0,1380.0,1563.0,831.0,2879.0,1889.0,1045.0,807.0,889.0,271.0,2634.0,2316.0,22.79729964,20.04500606,36.26154915,35.02743902,37.5598717,11082,2305,172,191,422,576,628,185,131,8777,5782.0,806.0,3075.0,1199.0,408.0,294.0,8320.0,430.0,1049.0,1687.0,5154.0,10785.0,9822.0,537.0,4465,4454,11,3739,715,4454,3041,2083,958,263,695,1413,918,495,132,65,53,27,160,127,35,48,162,287,335,513,384,443,644,1039,118424,138610,56874,144099,155118,64877,69633,61711,53398,20841,45182,80458,96848,1943.60332103,0,6,104,38,33,123,218,898,1355,1690,1187,1257,567952,10969,585,61,11,0,0,50,153,74,29,31,19,21,21,0,0,0,0,350,300,0,256,44,50,7.9,8.06491927
<geoprocessing describe geometry object object at 0x04439460>,West Highland,9707.0,832.0,8062.0,38.0,14.0,180.0,26.0,0.0,555.0,8.57113423,83.05346657,0.39147007,0.14422582,1.85433193,0.26784794,0.0,5.71752344,4929.0,4778.0,541.0,375.0,403.0,158.0,916.0,634.0,1679.0,2356.0,1495.0,1331.0,842.0,299.0,155.0,1477.0,1193.0,15.21582363,12.29009993,36.20564516,34.47316865,37.92639594,9323,1333,117,54,300,223,262,234,143,7990,5107.0,688.0,2704.0,1099.0,229.0,387.0,7821.0,88.0,588.0,2020.0,5125.0,9166.0,8638.0,319.0,5364,5080,284,3268,1812,5080,2201,1832,369,109,260,2879,2048,831,104,160,91,86,181,30,67,50,95,337,685,649,413,377,628,1127,100303,146606,72896,141825,174091,64430,62702,67267,0,41972,47370,67890,86452,1942.41210375,0,522,567,205,80,229,203,622,347,2589,994,993,614838,9392,315,101,61,26,7,7,111,58,24,13,16,15,0,0,0,0,0,88,21,0,0,21,67,6.45,4.97673959
<geoprocessing describe geometry object object at 0x047725A0>,Cheesman Park,8948.0,410.0,7711.0,276.0,27.0,133.0,0.0,9.0,382.0,4.5820295,86.17568172,3.08448815,0.30174341,1.48636567,0.0,0.10058114,4.26911042,4544.0,4404.0,11.0,206.0,96.0,34.0,217.0,175.0,2252.0,2391.0,954.0,959.0,1253.0,586.0,161.0,347.0,1766.0,3.87796156,19.73625391,36.88833124,37.38732394,36.31536388,8948,930,54,0,163,78,71,151,413,8018,5264.0,1158.0,2513.0,1038.0,330.0,225.0,8091.0,29.0,444.0,1597.0,6021.0,8937.0,8545.0,99.0,5916,5539,377,1523,4016,5539,1439,1193,246,66,180,4100,2956,1144,221,207,239,103,241,212,222,260,255,476,672,519,349,485,506,572,67444,130826,63876,100683,154377,49433,49908,49092,0,16265,34114,51928,69379,1962.62695458,0,253,86,227,498,943,1343,348,261,1957,972,981,446774,8533,415,68,14,39,0,15,186,45,29,24,88,0,0,0,0,0,25,136,54,27,12,15,82,8.46666667,0.96839959
<geoprocessing describe geometry object object at 0x04439240>,Union Station,8628.0,804.0,6860.0,52.0,0.0,707.0,0.0,0.0,205.0,9.31849791,79.50857673,0.60268892,0.0,8.19425127,0.0,0.0,2.37598516,4846.0,3782.0,2.0,59.0,38.0,49.0,61.0,109.0,2713.0,2163.0,702.0,1008.0,1000.0,513.0,359.0,148.0,1656.0,1.71534539,19.19332406,35.95423024,36.92503536,34.12149533,8628,806,2,11,48,38,49,252,406,7822,4870.0,1161.0,1939.0,1097.0,440.0,233.0,7635.0,128.0,323.0,1147.0,6037.0,8626.0,7923.0,262.0,7031,5605,1426,1551,4054,5605,1402,1188,214,192,22,4203,2966,1237,221,174,141,56,41,34,141,106,159,346,605,975,439,373,473,1321,94961,154167,103118,157360,236543,70918,78000,54864,0,13659,50931,71168,129971,2006.88520408,47,3054,1764,431,517,353,32,91,61,681,1268,1317,732075,7802,826,120,39,17,30,34,472,317,105,50,0,0,0,0,0,0,18,216,199,0,118,81,17,10.8,3.63465679
<geoprocessing describe geometry object object at 0x04439460>,South Park Hill,9321.0,984.0,6733.0,697.0,11.0,330.0,50.0,15.0,501.0,10.55680721,72.23473876,7.47773844,0.11801309,3.54039266,0.53642313,0.16092694,5.37495977,4567.0,4754.0,571.0,518.0,563.0,395.0,1089.0,1254.0,811.0,1122.0,1502.0,1312.0,1240.0,760.0,231.0,2047.0,1950.0,21.96116297,20.92050209,42.3039281,42.4313602,42.16101695,9026,2500,249,152,365,456,462,583,233,6526,3785.0,722.0,1861.0,905.0,165.0,132.0,6570.0,149.0,425.0,978.0,5018.0,8750.0,8000.0,322.0,3778,3612,166,3077,535,3612,2360,2094,266,80,186,1252,1026,226,109,26,105,66,52,75,44,71,51,110,209,281,293,523,447,1150,140009,188396,78446,195976,252824,66627,80773,53566,27136,0,55472,79351,101172,1939.0,23,75,47,48,121,16,9,257,456,2726,966,986,754310,8607,714,80,39,11,0,30,192,50,87,38,17,42,17,10,8,0,124,276,168,6,62,100,108,4.35,1.49968798
<geoprocessing describe geometry object object at 0x04439460>,Overland,3339.0,521.0,2455.0,24.0,0.0,78.0,29.0,12.0,220.0,15.60347409,73.52500749,0.71877808,0.0,2.33602875,0.86852351,0.35938904,6.58879904,1665.0,1674.0,225.0,87.0,60.0,32.0,312.0,104.0,925.0,894.0,472.0,325.0,175.0,76.0,56.0,404.0,208.0,12.09943097,6.22941,33.1,36.3,32.3,3153,401,24,0,72,60,28,161,56,2752,1885.0,228.0,827.0,643.0,113.0,74.0,2736.0,201.0,321.0,674.0,1540.0,3114.0,2599.0,410.0,1766,1676,90,595,1081,1676,585,502,83,33,50,1091,670,421,132,22,0,13,158,11,51,82,78,140,280,122,125,95,156,211,67885,87031,55644,105439,160346,53333,53704,52500,0,28429,31953,71193,78025,1991.0,11,433,357,90,0,43,43,207,89,493,1636,1697,434000,2957,382,19,19,0,0,0,53,16,0,37,0,40,40,0,0,0,9,261,261,3,193,65,0,8.7,0.0
<geoprocessing describe geometry object object at 0x047725E0>,Indian Creek,4000.0,508.0,2552.0,375.0,15.0,264.0,0.0,0.0,286.0,12.7,63.8,9.375,0.375,6.6,0.0,0.0,7.15,1881.0,2119.0,216.0,179.0,147.0,114.0,395.0,331.0,401.0,839.0,660.0,497.0,500.0,315.0,62.0,656.0,863.0,16.4,21.575,40.6,36.3,41.8,3872,816,63,81,109,84,181,159,139,3056,2197.0,426.0,979.0,587.0,163.0,42.0,3198.0,97.0,380.0,909.0,1812.0,3784.0,3145.0,230.0,2054,1953,101,1381,572,1953,830,443,387,80,307,1123,863,260,139,27,33,10,39,10,79,44,36,186,226,441,216,189,133,145,79596,93702,47314,93076,106897,49438,53497,44728,0,33856,39757,67137,66515,1985.0,0,25,8,300,1478,225,6,0,12,0,1446,1669,316200,3512,488,133,44,6,0,83,195,57,6,132,0,90,0,0,11,12,0,70,64,0,9,55,6,11.2,4.21686747
<geoprocessing describe geometry object object at 0x044399E0>,Speer,11982.0,1073.0,10043.0,141.0,2.0,263.0,0.0,31.0,429.0,8.95509932,83.81739276,1.17676515,0.0166917,2.19495911,0.0,0.25872142,3.58037056,5830.0,6152.0,231.0,255.0,56.0,66.0,486.0,225.0,3704.0,3812.0,1201.0,904.0,984.0,421.0,245.0,608.0,1647.0,5.07427808,13.74561843,33.72088143,34.0766721,33.38925494,11824,1446,48,21,218,37,66,570,486,10378,7017.0,1423.0,3290.0,1551.0,419.0,334.0,10703.0,294.0,458.0,1925.0,8026.0,11751.0,10770.0,454.0,8526,7938,588,2214,5724,7938,1326,1093,233,77,156,6612,5146,1466,283,218,181,139,236,217,363,342,382,589,1133,1251,852,577,608,567,73490,124279,64413,95304,160556,57854,55833,58731,0,0,37023,61151,80686,1963.86166471,29,864,242,271,734,1149,1706,1000,208,2323,973,978,464418,11053,929,238,51,94,22,71,165,21,70,15,59,150,0,0,24,0,24,352,220,48,53,119,132,6.625,0.98870057
<geoprocessing describe geometry object object at 0x04439460>,Wellshire,3325.0,533.0,2739.0,0.0,0.0,44.0,9.0,0.0,0.0,16.03007519,82.37593985,0.0,0.0,1.32330827,0.27067669,0.0,0.0,1624.0,1701.0,121.0,265.0,156.0,205.0,386.0,463.0,181.0,297.0,374.0,624.0,397.0,341.0,262.0,747.0,1170.0,22.46616541,35.18796992,47.7,47.8,47.0,3287,883,93,46,211,114,258,131,30,2404,1326.0,299.0,517.0,388.0,57.0,65.0,2397.0,48.0,224.0,269.0,1856.0,3204.0,2816.0,324.0,1406,1300,106,1216,84,1300,1055,912,143,75,68,245,240,5,12,0,0,37,0,31,17,26,32,91,83,151,85,151,138,446,138500,152443,72657,184860,205626,73090,93854,55139,0,0,54531,93750,80893,1957.0,0,30,18,19,16,199,130,971,15,8,1921,2097,771300,3133,192,42,8,0,9,25,27,27,0,0,0,0,0,0,0,0,0,123,99,0,99,0,24,3.2,2.08530806
<geoprocessing describe geometry object object at 0x04439460>,Jefferson Park,3795.0,1002.0,2400.0,97.0,0.0,103.0,0.0,0.0,193.0,26.40316206,63.24110672,2.55599473,0.0,2.7140975,0.0,0.0,5.085639,2107.0,1688.0,140.0,137.0,19.0,0.0,277.0,149.0,1225.0,1348.0,478.0,116.0,49.0,123.0,30.0,296.0,247.0,7.7997365,6.5085639,31.64577151,32.02740642,31.17,3698,477,33,0,91,19,39,215,80,3221,2312.0,363.0,1038.0,593.0,46.0,272.0,3204.0,335.0,149.0,336.0,2384.0,3655.0,2800.0,730.0,2524,2254,270,655,1599,2254,560,415,145,19,126,1694,1218,476,147,71,16,138,7,37,19,0,32,321,184,153,325,176,294,334,100154,150000,86954,124746,199224,70435,82551,61271,0,0,0,75313,97019,2010.12201154,86,1213,360,34,60,38,218,208,0,307,1012,1004,617037,3206,589,52,9,0,0,43,57,16,12,29,0,12,0,0,0,12,0,468,468,0,454,14,0,13.1,11.07142857
<geoprocessing describe geometry object object at 0x047723E0>,Cherry Creek,6428.0,362.0,5396.0,128.0,6.0,212.0,0.0,58.0,266.0,5.6316117,83.94523958,1.99128811,0.09334163,3.29807094,0.0,0.90230243,4.13814561,2976.0,3452.0,53.0,120.0,104.0,85.0,173.0,232.0,665.0,1115.0,771.0,703.0,980.0,1155.0,634.0,362.0,2668.0,5.6316117,41.50591164,53.3029872,52.10179641,54.3902439,6377,482,0,0,110,93,139,103,37,5895,2590.0,621.0,1213.0,502.0,125.0,129.0,5855.0,57.0,401.0,840.0,4557.0,6375.0,5705.0,245.0,4911,4100,811,2000,2100,4100,1727,1565,162,44,118,2373,2138,235,153,145,144,255,57,124,20,63,35,130,146,417,642,299,516,954,114057,156433,104181,165062,219452,77419,83311,66218,0,8229,39297,82628,80426,1995.4494333,0,1207,796,1147,672,568,207,84,71,159,1157,1176,935017,5593,835,324,131,93,13,87,207,32,45,68,62,25,15,0,10,0,29,250,142,17,24,101,108,4.7,0.49833887
<geoprocessing describe geometry object object at 0x04439460>,University,9922.0,1013.0,7631.0,377.0,82.0,410.0,0.0,18.0,391.0,10.20963515,76.9098972,3.79963717,0.82644628,4.1322314,0.0,0.18141504,3.94073775,5083.0,4839.0,372.0,255.0,228.0,142.0,627.0,2048.0,2647.0,1519.0,1017.0,596.0,1095.0,238.0,135.0,997.0,1046.0,10.04837734,10.54222939,27.77257272,28.06320969,27.48303167,9682,3981,29,19,193,202,243,2588,707,5701,4772.0,1187.0,2114.0,1151.0,151.0,169.0,5706.0,77.0,360.0,1281.0,3988.0,9550.0,8292.0,425.0,3814,3614,200,1930,1684,3614,1796,1496,300,222,78,1818,1067,751,110,77,76,85,216,242,119,80,58,182,371,181,245,370,528,674,101020,157114,49072,131046,169882,38781,44466,28229,0,21348,45227,59196,77708,1953.15789474,0,118,204,99,99,372,497,798,709,918,976,979,588213,9299,623,220,54,154,12,0,208,183,9,16,0,109,0,0,0,76,29,57,50,0,32,18,7,12.7,3.71471312
<geoprocessing describe geometry object object at 0x0F132980>,Berkeley,9130.0,1878.0,6816.0,77.0,10.0,193.0,0.0,0.0,156.0,20.56955093,74.65498357,0.84337349,0.10952903,2.11391019,0.0,0.0,1.70865279,4403.0,4727.0,644.0,491.0,258.0,208.0,1135.0,583.0,932.0,2310.0,1425.0,1118.0,955.0,556.0,116.0,1601.0,1671.0,17.53559693,18.30230011,37.46103896,38.32772021,36.58984375,8669,1498,148,82,348,193,255,342,130,7171,4028.0,799.0,1764.0,990.0,386.0,89.0,7289.0,233.0,886.0,1129.0,5041.0,8486.0,7133.0,1008.0,4495,4336,159,2958,1378,4336,2112,1730,382,127,255,2224,1500,724,358,63,115,151,64,46,112,122,43,83,143,537,606,269,757,867,113655,161306,66874,142390,187282,76365,77402,75447,12982,43078,54816,84440,87018,1942.43862275,17,771,177,28,117,167,166,561,334,2157,1052,1118,636585,8573,557,182,84,8,51,39,135,0,32,91,12,57,0,0,17,40,21,162,138,0,138,0,24,8.5,5.0644023
